airport_id, city             , loc_x  , loc_y
ATL, Atlanta, 33.6407, -84.4277
LAX, Los Angeles, 33.9416, -118.4085
ORD, Chicago, 41.9742, -87.9073
DFW, Dallas/Fort Worth, 32.8998, -97.0403
DEN, Denver, 39.8561, -104.6737
GRR, Grand Rapids, 42.8802, -85.5228
JFK, New York, 40.6413, -73.7781
SFO, San Francisco, 37.6213, -122.3790
LAS, Las Vegas, 36.0840, -115.1537
SEA, Seattle, 47.4502, -122.3088
MCO, Orlando, 28.4312, -81.3081
CLT, Charlotte, 35.2140, -80.9431
PHX, Phoenix, 33.4342, -112.0116
MIA, Miami, 25.7959, -80.2870
IAH, Houston, 29.9902, -95.3368
EWR, Newark, 40.6895, -74.1745
MSP, Minneapolis, 44.8848, -93.2223
DTW, Detroit, 42.2162, -83.3554
BOS, Boston, 42.3656, -71.0096
FLL, Fort Lauderdale, 26.0726, -80.1527
LGA, New York, 40.7769, -73.8740
PDX, Portland, 45.5898, -122.5951
SLC, Salt Lake City, 40.7884, -111.9778
BWI, Baltimore, 39.1754, -76.6684
SAN, San Diego, 32.7338, -117.1933
BNA, Nashville, 36.1263, -86.6774
HNL, Honolulu, 21.3187, -157.9225
ANC, Anchorage, 61.1744, -149.9983
YVR, Vancouver, 49.1947, -123.1792
YYZ, Toronto, 43.6777, -79.6248
YUL, Montreal, 45.4706, -73.7408
CUN, Cancun, 21.0365, -86.8771
MEX, Mexico City, 19.4361, -99.0719
MTY, Monterrey, 25.7781, -100.1076
