flight_id,plane_type,origin,destination,dep_min,arr_min,distance_mi,duration
F001,B737,ATL,DFW,300,380,730,80
F002,B737,ORD,DTW,360,386,234,26
F003,A320,DFW,ATL,380,460,730,80
F004,A320,DFW,ORD,400,487,802,87
F005,B737,ORD,DFW,420,507,802,87
F006,B737,DFW,ORD,480,567,802,87
F007,B737,DTW,ATL,510,575,595,65
F008,A320,ATL,DTW,540,605,595,65
F009,A320,ORD,DTW,570,596,234,26
F010,B737,DFW,ATL,600,680,730,80
F011,B737,ATL,ORD,660,726,606,66
F012,B737,ORD,ATL,660,726,606,66
F013,A320,DTW,DFW,720,828,986,108
F014,A320,DTW,DFW,750,858,986,108
F015,B737,ATL,ORD,780,846,606,66
F016,A320,ATL,DFW,840,920,730,80
