flight_id,plane_type,origin,destination,dep_min,arr_min,distance_mi,duration
F001,B737,DFW,ATL,355,435,730,80
F002,A320,DFW,ORD,400,487,802,87
F003,B737,ORD,ATL,415,481,606,66
F004,B737,DFW,DTW,420,528,986,108
F005,A320,ORD,DTW,440,466,234,26
F006,A320,DFW,ATL,460,540,730,80
F007,B737,ORD,JFK,460,541,738,81
F008,A320,DFW,JFK,480,632,1389,152
F009,A320,ORD,ATL,500,566,606,66
F010,B737,DFW,ATL,510,590,730,80
F011,B737,ATL,DFW,540,620,730,80
F012,A320,DTW,ORD,560,586,234,26
F013,B737,ATL,ORD,570,636,606,66
F014,B737,DTW,ORD,590,616,234,26
F015,A320,ATL,DFW,600,680,730,80
F016,A320,ATL,ORD,620,686,606,66
F017,B737,JFK,ORD,640,721,738,81
F018,B737,ATL,DFW,660,740,730,80
F019,A320,JFK,DFW,700,852,1389,152
F020,B737,ORD,DFW,730,817,802,87
F021,A320,ORD,DFW,740,827,802,87
F022,B737,DFW,ATL,840,920,730,80
F023,A320,DFW,ORD,850,937,802,87
F024,B737,DFW,DTW,870,978,986,108
F025,B737,ORD,ATL,870,936,606,66
F026,A320,DFW,ATL,890,970,730,80
F027,A320,ORD,DTW,900,926,234,26
F028,B737,ORD,JFK,910,991,738,81
F029,A320,DFW,JFK,920,1072,1389,152
F030,A320,ORD,ATL,930,996,606,66
F031,B737,DFW,ATL,940,1020,730,80
F032,A320,DTW,ORD,1010,1036,234,26
F033,B737,ATL,DFW,1020,1100,730,80
F034,B737,ATL,ORD,1040,1106,606,66
F035,B737,DTW,ORD,1060,1086,234,26
F036,B737,JFK,ORD,1060,1141,738,81
F037,A320,ATL,DFW,1070,1150,730,80
F038,A320,ATL,ORD,1080,1146,606,66
F039,B737,ATL,ORD,1100,1166,606,66
F040,A320,JFK,DFW,1130,1282,1389,152
F041,B737,ORD,DFW,1170,1257,802,87
F042,A320,ORD,DFW,1180,1267,802,87
F043,B737,ORD,DFW,1230,1317,802,87
